# Time [s], Iter[-]
0.012109795476297463,3400
# x [m], y [m], z [m], rho [kg/m3], u [m/s], v [m/s], w [m/s], E [J/kg], s [J/(kg·K)], P [Pa], T [K], sos [m/s]
-0.03125,-0.03125,-0.01,1.3397204791954835,20.893870069202944,0.8570994961963496,0.0,500304.94478331076,8970.230816648293,267990.9953368789,673.9707554855837,529.1959262119935
-0.03125,-0.03125,0.01,1.3400239609760822,19.998172592325574,2.5689679997035375,0.0,500206.70797414606,8970.04056527373,268007.3619888547,673.8590899222884,529.152084985507
-0.03125,-0.03125,0.03,1.3397204791954835,20.893870069202944,0.8570994961963496,0.0,500304.94478331076,8970.230816648293,267990.9953368789,673.9707554855837,529.1959262119935
-0.03125,0.03125,-0.01,1.3400239609760822,19.998172592325574,0.0017474703512720844,0.0,500206.70797414606,8970.045462122232,268009.13071632135,673.8635370877397,529.1538310649348
-0.03125,0.03125,0.01,1.3409344063178776,17.313515600080624,2.5689679997035375,0.0,499912.2646565888,8969.476029246805,268058.5985864991,673.5297654273312,529.0227671191143
-0.03125,0.03125,0.03,1.3400239609760822,19.998172592325574,0.0017474703512720844,0.0,500206.70797414606,8970.045462122232,268009.13071632135,673.8635370877397,529.1538310649348
-0.03125,0.09375,-0.01,1.3402121730702752,19.997737965807573,0.006135159684495912,0.0,500234.5667569995,8970.045170541574,268061.67813190824,673.9010943076884,529.1685768323083
-0.03125,0.09375,0.01,1.3412608986486125,17.11238636079758,7.831875770476008,0.0,499888.2044016323,8969.332574401518,268098.10997578164,673.4651191093119,528.9973783416145
-0.03125,0.09375,0.03,1.3402121730702752,19.997737965807573,0.006135159684495912,0.0,500234.5667569995,8970.045170541574,268061.67813190824,673.9010943076884,529.1685768323083
-0.03125,0.15625,-0.01,1.3411946441660232,19.998123574650236,0.008053503785861432,0.0,500296.8341084437,8969.920109441842,268291.5389885508,673.9850021600547,529.2015193643589
-0.03125,0.15625,0.01,1.3419889924572275,16.839575814159385,13.56434890886142,0.0,500034.5577738239,8969.304493552067,268291.8873485408,673.5859519357988,529.0448324559678
-0.03125,0.15625,0.03,1.3411946441660232,19.998123574650236,0.008053503785861432,0.0,500296.8341084437,8969.920109441842,268291.5389885508,673.9850021600547,529.2015193643589
-0.03125,0.21875,-0.01,1.3430014128137948,20.005566003625773,-0.03220345253195631,0.0,500401.7764743639,8969.676029447019,268709.2460790431,674.1262326418731,529.256962341877
-0.03125,0.21875,0.01,1.34081823517055,16.56765225385484,19.858673322513376,0.0,501203.18429988215,8971.14662750899,268631.2809379893,675.0252793749522,529.6097658520661
-0.03125,0.21875,0.03,1.3430014128137948,20.005566003625773,-0.03220345253195631,0.0,500401.7764743639,8969.676029447019,268709.2460790431,674.1262326418731,529.256962341877
-0.03125,0.28125,-0.01,1.3456658937986732,20.03913913600912,-0.2841460584139496,0.0,500508.1106145948,8969.244441853056,269299.20291601087,674.268580453433,529.3128380740546
-0.03125,0.28125,0.01,1.3313415214244089,16.319603700177492,26.719294512587762,0.0,505794.1103763773,8979.791446631316,269096.3022140053,681.0026755987689,531.9494635440481
-0.03125,0.28125,0.03,1.3456658937986732,20.03913913600912,-0.2841460584139496,0.0,500508.1106145948,8969.244441853056,269299.20291601087,674.268580453433,529.3128380740546
-0.03125,0.34375,-0.01,1.3501463260969349,20.137504353176517,-1.2013571613000913,0.0,500173.71810600243,8967.758098264052,270013.5768448574,673.814335492858,529.1345128452616
-0.03125,0.34375,0.01,1.3025445573417644,16.097567833975344,34.0950284179231,0.0,518246.5545168573,9004.025991126307,269651.66047346214,697.487537992403,538.3493492023588
-0.03125,0.34375,0.03,1.3501463260969349,20.137504353176517,-1.2013571613000913,0.0,500173.71810600243,8967.758098264052,270013.5768448574,673.814335492858,529.1345128452616
-0.03125,0.40625,-0.01,1.3611861810929948,20.347474567197796,-3.5639390399874022,0.0,497471.46432425955,8961.306135595009,270743.78069577273,670.1591693165601,527.6973924840041
-0.03125,0.40625,0.01,1.2451730263389347,15.921490884546202,41.8320050838026,0.0,543477.1826855823,9052.31395587904,270199.5140865673,731.0990261791417,551.1680935594485
-0.03125,0.40625,0.03,1.3611861810929948,20.347474567197796,-3.5639390399874022,0.0,497471.46432425955,8961.306135595009,270743.78069577273,670.1591693165601,527.6973924840041
-0.03125,0.46875,-0.01,1.3901535650356456,20.682627726939774,-8.130179220848216,0.0,488081.83246647037,8940.862057723369,271263.8349739374,657.4594299387373,522.6734566898765
-0.03125,0.46875,0.01,1.1625626206442625,15.82943564919186,49.67192846994057,0.0,583069.3944067525,9124.501283464366,270520.1775411613,783.9763593683356,570.7520099349023
-0.03125,0.46875,0.03,1.3901535650356456,20.682627726939774,-8.130179220848216,0.0,488081.83246647037,8940.862057723369,271263.8349739374,657.4594299387373,522.6734566898765
-0.03125,0.53125,-0.01,1.4513013762003169,21.088070862977784,-15.040278227895495,0.0,467463.4565965277,8895.904336037385,271173.46375088516,629.5525582824532,511.4603396330208
-0.03125,0.53125,0.01,1.0703744530846913,15.8539757310441,57.31001598006869,0.0,632881.6335438251,9209.506475520118,270220.28611497814,850.5576014889041,594.4944865771838
-0.03125,0.53125,0.03,1.4513013762003169,21.088070862977784,-15.040278227895495,0.0,467463.4565965277,8895.904336037385,271173.46375088516,629.5525582824532,511.4603396330208
-0.03125,0.59375,-0.01,1.552682698447521,21.465098195016182,-23.68024294548504,0.0,434956.4659271796,8822.044769617085,269818.25668202,585.5063527681133,493.24395556580964
-0.03125,0.59375,0.01,0.982650791253875,16.00900324880568,64.50610135512406,0.0,685704.0793272103,9294.050716214802,268661.8198260272,921.1528526666863,618.6739313564631
-0.03125,0.59375,0.03,1.552682698447521,21.465098195016182,-23.68024294548504,0.0,434956.4659271796,8822.044769617085,269818.25668202,585.5063527681133,493.24395556580964
-0.03125,0.65625,-0.01,1.6916187362303163,21.722074855848213,-33.13756335552267,0.0,394187.082514256,8722.972382273732,266191.2135128455,530.1915218243446,469.36678743649054
-0.03125,0.65625,0.01,0.9033395323006908,16.304358142246695,71.11454289267895,0.0,735684.6662157418,9370.938452579634,264872.394272277,987.9017669314136,640.6972312998871
-0.03125,0.65625,0.03,1.6916187362303163,21.722074855848213,-33.13756335552267,0.0,394187.082514256,8722.972382273732,266191.2135128455,530.1915218243446,469.36678743649054
-0.03125,0.71875,-0.01,1.8552797013745919,21.784462359334356,-42.532425137697636,0.0,350142.0694516267,8606.699835774365,258995.42715400382,470.35078767848654,442.086144655275
