# Time [s], Iter[-]
0.17558649567181855,46500
# x [m], y [m], z [m], rho [kg/m3], u [m/s], v [m/s], w [m/s], E [J/kg], s [J/(kg·K)], P [Pa], T [K], sos [m/s]
-0.03125,-0.03125,-0.01,0.5067504005023451,19.821902353482457,0.030273850401702343,0.0,500200.6473828035,9258.657981080421,101350.92929503326,673.8600984071359,529.1524809448908
-0.03125,-0.03125,0.01,0.5067457779384927,19.999985379375943,0.09082486524478924,0.0,500200.14687931206,9258.654678389516,101349.18384345346,673.8546402252645,529.1503379063477
-0.03125,-0.03125,0.03,0.5067504005023451,19.821902353482457,0.030273850401702343,0.0,500200.6473828035,9258.657981080421,101350.92929503326,673.8600984071359,529.1524809448908
-0.03125,0.03125,-0.01,0.5067457779384927,19.999985379375943,-2.4855524350186473e-06,0.0,500200.14687931206,9258.654684510388,101349.18467949846,673.854645783995,529.1503400888689
-0.03125,0.03125,0.01,0.5067319102469354,20.534253951577476,0.09082486524478922,0.0,500198.6453140484,9258.64450343598,101343.91114708563,673.838023445817,529.143813629344
-0.03125,0.03125,0.03,0.5067457779384927,19.999985379375943,-2.4855524350186473e-06,0.0,500200.14687931206,9258.654684510388,101349.18467949846,673.854645783995,529.1503400888689
-0.03125,0.09375,-0.01,0.5068122698542472,19.999988798771096,-5.634862931192075e-06,0.0,500200.1546096361,9258.615754241398,101362.48462332273,673.8546561100545,529.1503441431838
-0.03125,0.09375,0.01,0.5068008408794743,20.496707660039785,0.24987254572890194,0.0,500198.724847183,9258.605353470663,101357.86372496185,673.839132232598,529.1442489768637
-0.03125,0.09375,0.03,0.5068122698542472,19.999988798771096,-5.634862931192075e-06,0.0,500200.1546096361,9258.615754241398,101362.48462332273,673.8546561100545,529.1503441431838
-0.03125,0.15625,-0.01,0.5069015117439484,19.999993083362707,-5.639943659435442e-06,0.0,500200.16564798483,9258.563513163868,101380.335224406,673.8546708710477,529.1503499387842
-0.03125,0.15625,0.01,0.5068936517192548,20.44605462233241,0.3637205235365618,0.0,500198.92020313063,9258.552782163486,101376.66824317587,673.8407459326296,529.1448825699123
