# Time [s], Iter[-]
0.14704120180510374,38900
# x [m], y [m], z [m], rho [kg/m3], u [m/s], v [m/s], w [m/s], E [J/kg], s [J/(kg·K)], P [Pa], T [K], sos [m/s]
-0.03125,-0.03125,-0.01,0.9933625216837197,61.360116428665364,0.009539853429155826,0.0,500552.3923340772,9056.905916037365,198143.9799836348,672.0618063942088,528.4459497365096
-0.03125,-0.03125,0.01,0.9933444691126584,61.36011642866537,0.02862164087413716,0.0,500548.7611130157,9056.905906223461,198138.9361083912,672.0569120745913,528.4440255175889
-0.03125,-0.03125,0.03,0.9933625216837197,61.360116428665364,0.009539853429155826,0.0,500552.3923340772,9056.905916037365,198143.9799836348,672.0618063942088,528.4459497365096
-0.03125,0.03125,-0.01,0.9933444691126584,61.36011642866537,-1.5604683609550425e-06,0.0,500548.7611130157,9056.905906832933,198138.93627114044,672.0569126266117,528.444025734618
-0.03125,0.03125,0.01,0.9932903113994741,61.36011642866537,0.028621640874137162,0.0,500537.866657883,9056.905877580704,198123.80491667413,672.0422295205041,528.4382529779234
-0.03125,0.03125,0.03,0.9933444691126584,61.36011642866537,-1.5604683609550425e-06,0.0,500548.7611130157,9056.905906832933,198138.93627114044,672.0569126266117,528.444025734618
-0.03125,0.09375,-0.01,0.9933642856803538,61.2826084061642,-4.966204593380788e-06,0.0,500548.00030602835,9056.905926011617,198144.4752524504,672.062292802556,528.4461409692742
-0.03125,0.09375,0.01,0.993307217049717,61.28260840616421,0.08644416779480982,0.0,500536.5120138566,9056.905877772542,198128.52583586663,672.0468048935684,528.4400518217516
-0.03125,0.09375,0.03,0.9933642856803538,61.2826084061642,-4.966204593380788e-06,0.0,500548.00030602835,9056.905926011617,198144.4752524504,672.062292802556,528.4461409692742
-0.03125,0.15625,-0.01,0.9934039192529776,61.12832697634656,-9.28384533515222e-06,0.0,500546.54301921494,9056.90596653189,198155.554048116,672.0730550400959,528.4503721545294
-0.03125,0.15625,0.01,0.9933408050424823,61.12832697634656,0.14612570250215837,0.0,500533.8209919023,9056.905878150797,198137.90540994942,672.0558950620999,528.4436256746823
-0.03125,0.15625,0.03,0.9934039192529776,61.12832697634656,-9.28384533515222e-06,0.0,500546.54301921494,9056.90596653189,198155.554048116,672.0730550400959,528.4503721545294
-0.03125,0.21875,-0.01,0.993463509565327,60.89778866700011,-1.5309175710673186e-05,0.0,500544.4873702257,9056.906033386404,198172.21328163167,672.0892412910514,528.4567357326971
-0.03125,0.21875,0.01,0.993390838122971,60.89778866700011,0.20928588918882043,0.0,500529.8134023511,9056.905878707174,198151.8775703714,672.0694355388058,528.4489491474882
-0.03125,0.21875,0.03,0.993463509565327,60.89778866700011,-1.5309175710673186e-05,0.0,500544.4873702257,9056.906033386404,198172.21328163167,672.0892412910514,528.4567357326971
-0.03125,0.28125,-0.01,0.993543299043461,60.59206399257373,-2.4192625841238796e-05,0.0,500542.00548695924,9056.906135918276,198194.5235567107,672.1109250370872,528.4652605152116
-0.03125,0.28125,0.01,0.9934568994596371,60.59206399257373,0.27820066047629355,0.0,500524.52413620293,9056.905879428905,198170.32618452952,672.0873131118045,528.4559776785735
-0.03125,0.28125,0.03,0.993543299043461,60.59206399257373,-2.4192625841238796e-05,0.0,500542.00548695924,9056.906135918276,198194.5235567107,672.1109250370872,528.4652605152116
-0.03125,0.34375,-0.01,0.9936437182563864,60.21295957560176,-3.777492105109157e-05,0.0,500539.3724079842,9056.906291143874,198222.61022064294,672.1382374091063,528.4759979490382
-0.03125,0.34375,0.01,0.9935383587084171,60.21295957560175,0.3562544991011118,0.0,500518.00636589184,9056.905880298886,198193.07556575752,672.1093566803654,528.464643933561
-0.03125,0.34375,0.03,0.9936437182563864,60.21295957560176,-3.777492105109157e-05,0.0,500539.3724079842,9056.906291143874,198222.61022064294,672.1382374091063,528.4759979490382
-0.03125,0.40625,-0.01,0.9937655008016797,59.76346942810637,-5.9236674471163036e-05,0.0,500537.01814523374,9056.906530458806,198256.68726462498,672.1714043210104,528.4890367107593
-0.03125,0.40625,0.01,0.9936342847122687,59.76346942810637,0.4486291557963333,0.0,500510.3395095003,9056.905881295443,198219.86607249125,672.1353136609142,528.4748485333839
