# Time [s], Iter[-]
1.730776089912522,455300
# x [m], y [m], z [m], rho [kg/m3], u [m/s], v [m/s], w [m/s], E [J/kg], s [J/(kg·K)], P [Pa], T [K], sos [m/s]
-0.03125,-0.03125,-0.01,0.9212299449515746,212.82577861802096,0.0026517059024264004,0.0,506474.63358263037,9056.859912895869,178286.45208333782,652.0582581629798,520.5220912044765
-0.03125,-0.03125,0.01,0.9212252502121688,212.825778618021,0.007955279872940917,0.0,506473.64706412394,9056.85991246668,178285.17997356964,652.0569285853061,520.5215605196065
-0.03125,-0.03125,0.03,0.9212299449515746,212.82577861802096,0.0026517059024264004,0.0,506474.63358263037,9056.859912895869,178286.45208333782,652.0582581629798,520.5220912044765
-0.03125,0.03125,-0.01,0.9212252502121688,212.825778618021,-1.216248661065367e-07,0.0,506473.64706412394,9056.859912515207,178285.17998522986,652.056928627952,520.5215605366282
-0.03125,0.03125,0.01,0.9212111659939514,212.82577861802096,0.007955279872940915,0.0,506470.6874482737,9056.859911243735,178281.36367535923,652.0529398846993,520.5199684746881
-0.03125,0.03125,0.03,0.9212252502121688,212.825778618021,-1.216248661065367e-07,0.0,506473.64706412394,9056.859912515207,178285.17998522986,652.056928627952,520.5215605366282
-0.03125,0.09375,-0.01,0.9212568437618316,212.77586285984435,-2.2704073669344112e-07,0.0,506469.7051726853,9056.859978667311,178293.7559809941,652.0659316237325,520.525153963085
-0.03125,0.09375,0.01,0.9212470785467769,212.77586285984435,0.021419173189883286,0.0,506467.65275621717,9056.859976811156,178291.1096903832,652.0631652546508,520.5240498061665
-0.03125,0.09375,0.03,0.9212568437618316,212.77586285984435,-2.2704073669344112e-07,0.0,506469.7051726853,9056.859978667311,178293.7559809941,652.0659316237325,520.525153963085
-0.03125,0.15625,-0.01,0.921313472590157,212.6847610271066,-2.5832976063262948e-08,0.0,506462.2992507444,9056.860098451616,178309.1283340447,652.0820693587136,520.5315950640583
-0.03125,0.15625,0.01,0.9213126039013743,212.68476102710656,0.027397923580047154,0.0,506462.1157246339,9056.860096276801,178308.89243750798,652.0818215131159,520.5314961413285
-0.03125,0.15625,0.03,0.921313472590157,212.6847610271066,-2.5832976063262948e-08,0.0,506462.2992507444,9056.860098451616,178309.1283340447,652.0820693587136,520.5315950640583
-0.03125,0.21875,-0.01,0.9213816252106457,212.57049659388073,2.909027355231066e-07,0.0,506452.4172348984,9056.860247862673,178327.63068237517,652.1014949108002,520.5393483352971
-0.03125,0.21875,0.01,0.921394754218705,212.57049659388073,0.020415284538117712,0.0,506455.1739075582,9056.860245747761,178331.18763616993,652.1052098222124,520.5408310452943
-0.03125,0.21875,0.03,0.9213816252106457,212.57049659388073,2.909027355231066e-07,0.0,506452.4172348984,9056.860247862673,178327.63068237517,652.1014949108002,520.5393483352971
-0.03125,0.28125,-0.01,0.9214402526852705,212.46106429360609,-2.0884084221502092e-07,0.0,506441.57175278524,9056.860394560848,178343.55191584895,652.1182207983817,520.5460240037796
-0.03125,0.28125,0.01,0.921473394135987,212.46106429360606,-0.005806455488857881,0.0,506448.529118678,9056.860388513824,178352.5308049632,652.1275972795613,520.5497663255679
-0.03125,0.28125,0.03,0.9214402526852705,212.46106429360609,-2.0884084221502092e-07,0.0,506441.57175278524,9056.860394560848,178343.55191584895,652.1182207983817,520.5460240037796
-0.03125,0.34375,-0.01,0.9214596694876265,212.3957228609201,-3.876315756969819e-06,0.0,506431.841097528,9056.860503809035,178348.83953243546,652.1238134133713,520.548256119953
-0.03125,0.34375,0.01,0.9215203326464385,212.39572286092007,-0.05888036010979608,0.0,506444.565013673,9056.860473579902,178365.27040793566,652.1409592121537,520.555099265999
-0.03125,0.34375,0.03,0.9214596694876265,212.3957228609201,-3.876315756969819e-06,0.0,506431.841097528,9056.860503809035,178348.83953243546,652.1238134133713,520.548256119953
-0.03125,0.40625,-0.01,0.9213998423462784,212.4268232412408,-1.5829186389251608e-05,0.0,506425.9107637037,9056.86055040287,178332.63955170818,652.1069179885725,520.5415128139269
-0.03125,0.40625,0.01,0.9214979930353654,212.4268232412408,-0.14859814005584002,0.0,506446.4617698939,9056.86043310789,178359.20717432632,652.1345998827593,520.5525611725335
-0.03125,0.40625,0.03,0.9213998423462784,212.4268232412408,-1.5829186389251608e-05,0.0,506425.9107637037,9056.86055040287,178332.63955170818,652.1069179885725,520.5415128139269
-0.03125,0.46875,-0.01,0.9212077063117654,212.62236818438646,-4.6881495338319665e-05,0.0,506427.10282350966,9056.860543890161,178280.57831227733,652.0525163036928,520.5197994068145
-0.03125,0.46875,0.01,0.9213574659869024,212.6223681843865,-0.2883793300803608,0.0,506458.366056225,9056.86017794459,178321.06770107403,652.0945940009938,520.5365940059286
-0.03125,0.46875,0.03,0.9212077063117654,212.62236818438646,-4.6881495338319665e-05,0.0,506427.10282350966,9056.860543890161,178280.57831227733,652.0525163036928,520.5197994068145
-0.03125,0.53125,-0.01,0.9208128698590174,213.06956173430973,-0.00012047255365779315,0.0,506439.3550253369,9056.860586181658,178173.62030992514,651.9407492675257,520.4751868587418
-0.03125,0.53125,0.01,0.9210356667826438,213.0695617343097,-0.49790937894128046,0.0,506485.6436725528,9056.859589889751,178233.73835720625,652.0029658313375,520.5000214814955
-0.03125,0.53125,0.03,0.9208128698590174,213.06956173430973,-0.00012047255365779315,0.0,506439.3550253369,9056.860586181658,178173.62030992514,651.9407492675257,520.4751868587418
-0.03125,0.59375,-0.01,0.9201204950450346,213.87975749382733,-0.0002904123666597175,0.0,506467.0645945775,9056.861014375185,177986.19075867938,651.7449990050214,520.3970426381827
-0.03125,0.59375,0.01,0.9204511418400408,213.87975749382727,-0.808156542310213,0.0,506535.2623496237,9056.858508320844,178075.13923369956,651.8364696203719,520.4335595027063
-0.03125,0.59375,0.03,0.9201204950450346,213.87975749382733,-0.0002904123666597175,0.0,506467.0645945775,9056.861014375185,177986.19075867938,651.7449990050214,520.3970426381827
-0.03125,0.65625,-0.01,0.9189989130442213,215.19553897599283,-0.0006899917562714012,0.0,506514.62458137545,9056.862784313094,177682.94958450802,651.4286584684005,520.2707335289866
-0.03125,0.65625,0.01,0.9194977166918206,215.1955389759929,-1.2712450622099472,0.0,506616.3965845317,9056.856706676432,177816.5247462998,651.5647285107054,520.3250676171275
-0.03125,0.65625,0.03,0.9189989130442213,215.19553897599283,-0.0006899917562714012,0.0,506514.62458137545,9056.862784313094,177682.94958450802,651.4286584684005,520.2707335289866
-0.03125,0.71875,-0.01,0.917256866209796,217.20125569782235,-0.001679073462301681,0.0,506585.323740981,9056.868585805729,177212.973908199,650.9395296512342,520.0753727688717
-0.03125,0.71875,0.01,0.9180345301710628,217.20125569782232,-1.9804719504527228,0.0,506741.4447559511,9056.85384992256,177419.8273309352,651.1472922951783,520.1583632841949
-0.03125,0.71875,0.03,0.917256866209796,217.20125569782235,-0.001679073462301681,0.0,506585.323740981,9056.868585805729,177212.973908199,650.9395296512342,520.0753727688717
-0.03125,0.78125,-0.01,0.9145988794546083,220.13978743618603,-0.00432358480306401,0.0,506679.1207013238,9056.886361003051,176498.69093364206,650.199942972712,519.779838300815
-0.03125,0.78125,0.01,0.915869510866956,220.139787436186,-3.112110858965109,0.0,506927.91774356907,9056.849413949338,176833.2687203602,650.5287225341579,519.9112374121117
-0.03125,0.78125,0.03,0.9145988794546083,220.13978743618603,-0.00432358480306401,0.0,506679.1207013238,9056.886361003051,176498.69093364206,650.199942972712,519.779838300815
-0.03125,0.84375,-0.01,0.9105308510901041,224.3415696540987,-0.01211461446805397,0.0,506789.1665268843,9056.941419148812,175413.62150868203,649.0897527170752,519.3358971311333
-0.03125,0.84375,0.01,0.9127300116391485,224.34156965409872,-5.015882186054529,0.0,507202.4566440924,9056.84252271396,175983.58568931205,649.6297940291208,519.5518954012008
-0.03125,0.84375,0.03,0.9105308510901041,224.3415696540987,-0.01211461446805397,0.0,506789.1665268843,9056.941419148812,175413.62150868203,649.0897527170752,519.3358971311333
-0.03125,0.90625,-0.01,0.9041407267179462,230.2791066344304,-0.037870057783873895,0.0,506901.1483569496,9057.122459969294,173734.9494711049,647.4217172017562,518.6681713115562
-0.03125,0.90625,0.01,0.9082066789204074,230.27910663443043,-8.421117578518341,0.0,507610.95287178253,9056.831591299211,174761.22036919574,648.3305414891794,519.032086290996
-0.03125,0.90625,0.03,0.9041407267179462,230.2791066344304,-0.037870057783873895,0.0,506901.1483569496,9057.122459969294,173734.9494711049,647.4217172017562,518.6681713115562
-0.03125,0.96875,-0.01,0.8937422382379633,238.39271496399022,-0.13709113257379776,0.0,507015.53560806124,9057.790507370297,171098.0079883493,645.0134540931545,517.7026081108609
-0.03125,0.96875,0.01,0.9018634379925792,238.39271496399024,-15.086950126973955,0.0,508232.534664259,9056.814127977968,173050.70486377907,646.500247113532,518.2989317764554
-0.03125,0.96875,0.03,0.8937422382379633,238.39271496399022,-0.13709113257379776,0.0,507015.53560806124,9057.790507370297,171098.0079883493,645.0134540931545,517.7026081108609
-0.03125,1.0312499999999998,-0.01,0.8469452534496664,97.02705828774658,-4.5696859672772385,0.0,506664.69562415656,9109.094016713081,170048.6955553199,676.4786113062665,530.1795852067296
-0.03125,1.0312499999999998,0.01,0.827607360932826,21.38950020079224,-15.086950126973957,0.0,507140.07544743543,9123.084895169957,167771.74059197828,683.0155149002002,532.7350248963655
-0.03125,1.0312499999999998,0.03,0.8469452534496664,97.02705828774658,-4.5696859672772385,0.0,506664.69562415656,9109.094016713081,170048.6955553199,676.4786113062665,530.1795852067296
0.03125,-0.03125,-0.01,0.9212393344303863,212.82577861802096,4.707580894408422e-19,0.0,506476.6065894789,9056.859913640978,178288.99628344044,652.0609172065975,520.5231525279979
0.03125,-0.03125,0.01,0.9212393344303863,212.82577861802096,0.007955279872940915,0.0,506476.6065894789,9056.859913592449,178288.99627178002,652.0609171639516,520.5231525109764
0.03125,-0.03125,0.03,0.9212393344303863,212.82577861802096,4.707580894408422e-19,0.0,506476.6065894789,9056.859913640978,178288.99628344044,652.0609172065975,520.5231525279979
0.03125,0.03125,-0.01,0.9212393344303863,212.82577861802096,-0.007955279872940913,0.0,506476.6065894789,9056.859913592449,178288.99627178002,652.0609171639516,520.5231525109764
0.03125,0.03125,0.01,0.9212393344303863,212.82577861802096,-0.007955279872941442,0.0,506476.6065894789,9056.859913592449,178288.99627178002,652.0609171639516,520.5231525109764
0.03125,0.03125,0.03,0.9212393344303863,212.82577861802096,-0.007955279872940913,0.0,506476.6065894789,9056.859913592449,178288.99627178002,652.0609171639516,520.5231525109764
0.03125,0.09375,-0.01,0.9212666089768862,212.77586285984435,-0.021419173189883286,0.0,506471.7575456432,9056.859979773153,178296.40210254292,652.0686973158718,520.5262578474702
0.03125,0.09375,0.01,0.9212666089768862,212.77586285984435,-0.021419173189883286,0.0,506471.7575456432,9056.859979773153,178296.40210254292,652.0686973158718,520.5262578474702
0.03125,0.09375,0.03,0.9212666089768862,212.77586285984435,-0.021419173189883286,0.0,506471.7575456432,9056.859979773153,178296.40210254292,652.0686973158718,520.5262578474702
0.03125,0.15625,-0.01,0.9213143412789396,212.68476102710653,-0.02739792358004715,0.0,506462.4827765087,9056.860099474903,178309.3639539493,652.0823161921925,520.5316935828017
0.03125,0.15625,0.01,0.9213143412789396,212.68476102710653,-0.02739792358004754,0.0,506462.4827765087,9056.860099474903,178309.3639539493,652.0823161921925,520.5316935828017
0.03125,0.15625,0.03,0.9213143412789396,212.68476102710653,-0.02739792358004715,0.0,506462.4827765087,9056.860099474903,178309.3639539493,652.0823161921925,520.5316935828017
0.03125,0.21875,-0.01,0.9213684962025863,212.57049659388073,-0.02041528453811771,0.0,506449.6604836763,9056.860249254147,178324.07357497353,652.0977793318054,520.5378653546271
0.03125,0.21875,0.01,0.9213684962025863,212.57049659388073,-0.02041528453811781,0.0,506449.6604836763,9056.860249254147,178324.07357497353,652.0977793318054,520.5378653546271
0.03125,0.21875,0.03,0.9213684962025863,212.57049659388073,-0.02041528453811771,0.0,506449.6604836763,9056.860249254147,178324.07357497353,652.0977793318054,520.5378653546271
0.03125,0.28125,-0.01,0.921407111234554,212.4610642936061,0.005806455488857881,0.0,506434.61388640327,9056.860400019226,178334.5730143082,652.1088435972504,520.5422813677382
0.03125,0.28125,0.01,0.921407111234554,212.4610642936061,0.005806455488857783,0.0,506434.61388640327,9056.860400019226,178334.5730143082,652.1088435972504,520.5422813677382
0.03125,0.28125,0.03,0.921407111234554,212.4610642936061,0.005806455488857881,0.0,506434.61388640327,9056.860400019226,178334.5730143082,652.1088435972504,520.5422813677382
0.03125,0.34375,-0.01,0.9213990063288146,212.39572286092007,0.05888036010979609,0.0,506419.1155059461,9056.86052692587,178332.407379093,652.10666068422,520.5414101178762
0.03125,0.34375,0.01,0.9213990063288146,212.39572286092007,0.058880360109796186,0.0,506419.1155059461,9056.86052692587,178332.407379093,652.10666068422,520.5414101178762
0.03125,0.34375,0.03,0.9213990063288146,212.39572286092007,0.05888036010979609,0.0,506419.1155059461,9056.86052692587,178332.407379093,652.10666068422,520.5414101178762
0.03125,0.40625,-0.01,0.9213016916571913,212.4268232412408,0.14859814005584002,0.0,506405.3553787189,9056.860629150426,178306.063790768,652.0792004337364,520.5304499875355
0.03125,0.40625,0.01,0.9213016916571913,212.4268232412408,0.14859814005584002,0.0,506405.3553787189,9056.860629150426,178306.063790768,652.0792004337364,520.5304499875355
0.03125,0.40625,0.03,0.9213016916571913,212.4268232412408,0.14859814005584002,0.0,506405.3553787189,9056.860629150426,178306.063790768,652.0792004337364,520.5304499875355
0.03125,0.46875,-0.01,0.9210579466366283,212.6223681843865,0.2883793300803608,0.0,506395.8294242862,9056.860771449281,178240.05827945625,652.0103128258742,520.5029540602121
0.03125,0.46875,0.01,0.9210579466366283,212.6223681843865,0.28837933008036065,0.0,506395.8294242862,9056.860771449281,178240.05827945625,652.0103128258742,520.5029540602121
0.03125,0.46875,0.03,0.9210579466366283,212.6223681843865,0.2883793300803608,0.0,506395.8294242862,9056.860771449281,178240.05827945625,652.0103128258742,520.5029540602121
0.03125,0.53125,-0.01,0.920590072935391,213.06956173430973,0.4979093789412804,0.0,506393.04397299525,9056.861178414592,178113.41094978084,651.8781683925807,520.4502056205619
0.03125,0.53125,0.01,0.920590072935391,213.06956173430973,0.4979093789412804,0.0,506393.04397299525,9056.861178414592,178113.41094978084,651.8781683925807,520.4502056205619
0.03125,0.53125,0.03,0.920590072935391,213.06956173430973,0.4979093789412804,0.0,506393.04397299525,9056.861178414592,178113.41094978084,651.8781683925807,520.4502056205619
0.03125,0.59375,-0.01,0.9197898482500284,213.8797574938273,0.8081565423102132,0.0,506398.8178079633,9056.862466652741,177897.00190515644,651.6525820979185,520.3601453929068
0.03125,0.59375,0.01,0.9197898482500284,213.8797574938273,0.8081565423102134,0.0,506398.8178079633,9056.862466652741,177897.00190515644,651.6525820979185,520.3601453929068
0.03125,0.59375,0.03,0.9197898482500284,213.8797574938273,0.8081565423102132,0.0,506398.8178079633,9056.862466652741,177897.00190515644,651.6525820979185,520.3601453929068
