# Time [s], Iter[-]
9.603240022115172e-05,300
# x [m], y [m], z [m], rho [kg/m3], u [m/s], v [m/s], w [m/s], E [J/kg], s [J/(kg·K)], P [Pa], T [K], sos [m/s]
-2.5357142857142856,-0.01,-0.005,264.63115245087795,9.980156559660118,0.00044878619102949995,-1.152544016100324e-09,261430.36842360598,6288.790352612589,19989970.475298896,399.8464099356181,312.04126341420397
-2.5357142857142856,-0.01,0.005,264.63115245087795,9.999,0.0013463585730885,0.0,261386.76298731336,6288.680817192979,19986621.204601962,399.77941664687233,312.01512144362977
-2.5357142857142856,-0.01,0.015,264.63115245087795,9.980156559660118,0.00044878619102949995,-1.152544016100324e-09,261430.36842360598,6288.790352612589,19989970.475298896,399.8464099356181,312.04126341420397
-2.5357142857142856,0.01,-0.005,264.63115245087795,9.999,0.0,0.0,261386.76298731336,6288.680817195247,19986621.20467128,399.7794166482588,312.01512144417086
-2.5357142857142856,0.01,0.005,264.63115245087795,10.055530321019647,0.0013463585730885,3.457632048300972e-09,261255.94667843552,6288.352095441797,19976573.22976246,399.57843352527834,311.93668111621093
-2.5357142857142856,0.01,0.015,264.63115245087795,9.999,0.0,0.0,261386.76298731336,6288.680817195247,19986621.20467128,399.7794166482588,312.01512144417086
-2.5357142857142856,0.03,-0.005,264.6341068861909,9.991,0.0,-4.0009622485913162e-25,261383.53172087777,6288.670825550176,19986603.31443416,399.7745959434108,312.0132402350836
-2.5357142857142856,0.03,0.005,264.6341068861909,10.06222204977581,0.0026739578182697053,6.933628085004102e-09,261248.94337951328,6288.33229103638,19976255.481680498,399.5676172691006,311.93245915425786
-2.5357142857142856,0.03,0.015,264.6341068861909,9.991,0.0,-4.0009622485913162e-25,261383.53172087777,6288.670825550176,19986603.31443416,399.7745959434108,312.0132402350836
-2.5357142857142856,0.05,-0.005,264.63670559230764,9.974999999999998,0.0,4.0009229692652597e-25,261381.0317633491,6288.663116925928,19986620.553443536,399.77101598187267,312.0118432004653
-2.5357142857142856,0.05,0.005,264.63670559230764,10.055717298298873,0.0020755631583230815,-5.4878223095430145e-09,261243.50091581687,6288.3169790478505,19976040.36446103,399.5593917661877,311.9292484153922
-2.5357142857142856,0.05,0.015,264.63670559230764,9.974999999999998,0.0,4.0009229692652597e-25,261381.0317633491,6288.663116925928,19986620.553443536,399.77101598187267,312.0118432004653
-2.5357142857142856,0.07,-0.005,264.6381294135717,9.950999999999999,0.0,0.0,261380.07656555026,6288.66030961159,19986673.28160041,399.7699205510243,312.01141572121026
-2.5357142857142856,0.07,0.005,264.6381294135717,10.035866256673616,0.0007088944723755504,-2.178029787633713e-08,261241.46534265685,6288.311367518184,19976007.372585822,399.5565829165271,311.92815200279193
-2.5357142857142856,0.07,0.015,264.6381294135717,9.950999999999999,0.0,0.0,261380.07656555026,6288.66030961159,19986673.28160041,399.7699205510243,312.01141572121026
-2.5357142857142856,0.09,-0.005,264.637994793796,9.919,-5.24406420729941e-20,0.0,261381.0436121767,6288.6636196008985,19986761.428463306,399.7718862262045,312.0121828028619
-2.5357142857142856,0.09,0.005,264.637994793796,10.002621292898535,-0.0009038926841592564,-3.6903966813930086e-08,261243.6965056165,6288.317880963327,19976193.36511099,399.56050557630607,311.92968318143465
-2.5357142857142856,0.09,0.015,264.637994793796,9.919,-5.24406420729941e-20,0.0,261381.0436121767,6288.6636196008985,19986761.428463306,399.7718862262045,312.0121828028619
-2.5357142857142856,0.11000000000000001,-0.005,264.6361671745787,9.879000000000001,0.0,0.0,261384.0615824287,6288.673462443472,19986884.653730057,399.7771086793213,312.0142207946906
-2.5357142857142856,0.11000000000000001,0.005,264.6361671745787,9.95597990243301,-0.002579845380053472,-5.0607642224744096e-08,261250.48936644616,6288.3373496388485,19976610.68062818,399.5716089562542,311.9340172555985
-2.5357142857142856,0.11000000000000001,0.015,264.6361671745787,9.879000000000001,0.0,0.0,261384.0615824287,6288.673462443472,19986884.653730057,399.7771086793213,312.0142207946906
-2.5357142857142856,0.13,-0.005,264.6326115175396,9.831,4.195336612035411e-19,6.401575640923174e-24,261389.15906645628,6288.689931923153,19987042.432564434,399.78563017754266,312.0175461657552
-2.5357142857142856,0.13,0.005,264.6326115175396,9.895955718978222,-0.004266598235441403,-6.35492543321447e-08,261261.9115781027,6288.369961722609,19977261.69310472,399.5899934743287,311.9411933042546
-2.5357142857142856,0.13,0.015,264.6326115175396,9.831,4.195336612035411e-19,6.401575640923174e-24,261389.15906645628,6288.689931923153,19987042.432564434,399.78563017754266,312.0175461657552
-2.5357142857142856,0.15,-0.005,264.6273239106507,9.775,0.0,0.0,261396.3323605906,6288.713018345801,19987234.088067234,399.7974432929186,312.02215597632124
-2.5357142857142856,0.15,0.005,264.6273239106507,9.822567905992695,-0.005951393492407497,-7.607042903241574e-08,261277.95778030346,6288.415698451673,19978145.470821902,399.6156469562298,311.95120637947457
-2.5357142857142856,0.15,0.015,264.6273239106507,9.775,0.0,0.0,261396.3323605906,6288.713018345801,19987234.088067234,399.7974432929186,312.02215597632124
-2.5357142857142856,0.17000000000000004,-0.005,264.62030865895605,9.711000000000002,0.0,0.0,261405.56811794135,6288.742681482696,19987458.801295392,399.8125255520884,312.0280413999524
-2.5357142857142856,0.17000000000000004,0.005,264.62030865895605,9.735838135998792,-0.007631412615649885,-8.826635154271677e-08,261298.6012157566,6288.474479687198,19979260.005306102,399.6485236465159,311.9640383498223
-2.5357142857142856,0.17000000000000004,0.015,264.62030865895605,9.711000000000002,0.0,0.0,261405.56811794135,6288.742681482696,19987458.801295392,399.8125255520884,312.0280413999524
-2.5357142857142856,0.19,-0.005,264.61157213318876,9.639000000000001,0.0,0.0,261416.84942075313,6288.778870127579,19987715.61420516,399.830848725456,312.0351913490267
-2.5357142857142856,0.19,0.005,264.61157213318876,9.635789942466934,-0.00930600749962528,-1.0014582183134278e-07,261323.80757517263,6288.546202973717,19980602.809908323,399.68856540335383,311.9796661759642
-2.5357142857142856,0.19,0.015,264.61157213318876,9.639000000000001,0.0,0.0,261416.84942075313,6288.778870127579,19987715.61420516,399.830848725456,312.0351913490267
-2.5357142857142856,0.20999999999999996,-0.005,264.6011213556569,9.559000000000003,0.0,-6.402336658152416e-24,261430.1571813475,6288.821526607019,19988003.431006387,399.852380970278,312.0435933116308
-2.5357142857142856,0.20999999999999996,0.005,264.6011213556569,9.52244861572514,-0.010975082986711555,-1.1170890720458866e-07,261353.53818714715,6288.630752558544,19982171.058589544,399.7357065857839,311.99806382103094
-2.5357142857142856,0.20999999999999996,0.015,264.6011213556569,9.559000000000003,0.0,-6.402336658152416e-24,261430.1571813475,6288.821526607019,19988003.431006387,399.852380970278,312.0435933116308
-2.5357142857142856,0.23000000000000004,-0.005,264.58896355379665,9.471,8.392055878107522e-19,0.0,261445.4705600599,6288.870588147955,19988321.016751498,399.87708747000215,312.0532336016877
-2.5357142857142856,0.23000000000000004,0.005,264.58896355379665,9.395842220914608,-0.01263875967961115,-1.2295379428955604e-07,261387.7509745578,6288.728002113376,19983961.625490777,399.7898755086264,312.0192028214363
-2.5357142857142856,0.23000000000000004,0.015,264.58896355379665,9.471,8.392055878107522e-19,0.0,261445.4705600599,6288.870588147955,19988321.016751498,399.87708747000215,312.0532336016877
-2.5357142857142856,0.25,-0.005,264.5751057291471,9.375000000000002,0.0,0.0,261462.76735860578,6288.925988174112,19988666.995097727,399.90493103601824,312.0640975944483
-2.5357142857142856,0.25,0.005,264.5751057291471,9.256003072689497,-0.014296796575105866,-1.338217914892266e-07,261426.4013665062,6288.83781732821,19985971.12192009,399.85099582475823,312.0430528294677
-2.5357142857142856,0.25,0.015,264.5751057291471,9.375000000000002,0.0,0.0,261462.76735860578,6288.925988174112,19988666.995097727,399.90493103601824,312.0640975944483
-2.5357142857142856,0.27,-0.005,264.55955582233224,9.271,0.0,0.0,261482.0229990104,6288.987652926542,19989039.858470634,399.9358705456781,312.07616911779394
-2.5357142857142856,0.27,0.005,264.55955582233224,9.10296425176369,-0.015948560989736356,-1.4425414891778807e-07,261469.4399118852,6288.960049236093,19988195.805274025,399.9189829336485,312.0695802153075
-2.5357142857142856,0.27,0.015,264.55955582233224,9.271,0.0,0.0,261482.0229990104,6288.987652926542,19989039.858470634,399.9358705456781,312.07616911779394
-2.5357142857142856,0.29,-0.005,264.5423224908636,9.159,0.0,0.0,261503.21069924664,6289.055502068868,19989437.964913826,399.969861210977,312.08943055795936
-2.5357142857142856,0.29,0.005,264.5423224908636,8.936761476806488,-0.017593442724857477,-1.5422337975378554e-07,261516.81269453076,6289.094535415046,19990631.59357569,399.993744598347,312.09874831189387
-2.5357142857142856,0.29,0.015,264.5423224908636,9.159,0.0,0.0,261503.21069924664,6289.055502068868,19989437.964913826,399.969861210977,312.08943055795936
-2.5357142857142856,0.31,-0.005,264.5234151394349,9.039,0.0,0.0,261526.30145422288,6289.1294486256875,19989859.539183006,400.0068545494702,312.10386284914085
-2.5357142857142856,0.31,0.005,264.5234151394349,8.757433382352463,-0.01923079362513847,-1.636914829554163e-07,261568.46128071457,6289.2410998826535,19993274.064632375,400.0751808717289,312.13051739056203
-2.5357142857142856,0.31,0.015,264.5234151394349,9.039,0.0,0.0,261526.30145422288,6289.1294486256875,19989859.539183006,400.0068545494702,312.10386284914085
-2.5357142857142856,0.33,-0.005,264.50284399201877,8.911,1.6789570527981596e-18,0.0,261551.26397801394,6289.2093987948,19990302.674063656,400.0467982959005,312.1194454400515
-2.5357142857142856,0.33,0.005,264.50284399201877,8.565021789492272,-0.020859873902870786,-1.7261253807107396e-07,261624.3225773438,6289.399552742803,19996118.451650195,400.16318388750614,312.1648445842927
-2.5357142857142856,0.33,0.015,264.50284399201877,8.911,1.6789570527981596e-18,0.0,261551.26397801394,6289.2093987948,19990302.674063656,400.0467982959005,312.1194454400515
-2.5357142857142856,0.3499999999999999,-0.005,264.480620195574,8.775000000000002,0.0,-1.2810500933266098e-23,261578.06461608835,6289.295251662452,19990765.33181184,400.08963626792837,312.1361562426516
-2.5357142857142856,0.3499999999999999,0.005,264.480620195574,8.359572020892182,-0.022479819455264293,-1.809338879643551e-07,261684.32862117203,6289.569689641895,19999159.63606504,400.25763754650075,312.2016837704951
-2.5357142857142856,0.3499999999999999,0.015,264.480620195574,8.775000000000002,0.0,-1.2810500933266098e-23,261578.06461608835,6289.295251662452,19990765.33181184,400.08963626792837,312.1361562426516
-2.5357142857142856,0.36999999999999994,-0.005,264.4567559497532,8.631,0.0,0.0,261606.6672333261,6289.386898840154,19991245.34573896,400.1353081948271,312.1539715665186
-2.5357142857142856,0.36999999999999994,0.005,264.4567559497532,8.141133265694762,-0.024089617019992803,-1.8859591271176324e-07,261748.40631214413,6289.751291071854,20002392.138182707,400.3584171183946,312.2409854212402
-2.5357142857142856,0.36999999999999994,0.015,264.4567559497532,8.631,0.0,0.0,261606.6672333261,6289.386898840154,19991245.34573896,400.1353081948271,312.1539715665186
-2.5357142857142856,0.39000000000000007,-0.005,264.4312646606793,8.479000000000001,0.0,-1.2812889377819728e-23,261637.0330799466,6289.484224029783,19991740.42196057,400.1837495123865,312.1728660401275
