# Time [s], Iter[-]
0.018178369932991045,56900
# x [m], y [m], z [m], rho [kg/m3], u [m/s], v [m/s], w [m/s], E [J/kg], s [J/(kg·K)], P [Pa], T [K], sos [m/s]
-2.5357142857142856,-0.01,-0.005,276.8315897367438,8.252801883812928,0.0009699237888844889,0.0,251508.7360259667,6255.019497350387,20119054.76673498,384.6929017499076,306.0712333512997
-2.5357142857142856,-0.01,0.005,276.8315897367438,9.999,0.002909771366653467,0.0,249648.58550647838,6250.124373822721,19968959.81547944,381.82296262970726,304.9273985638311
-2.5357142857142856,-0.01,0.015,276.8315897367438,8.252801883812928,0.0009699237888844889,0.0,251508.7360259667,6255.019497350387,20119054.76673498,384.6929017499076,306.0712333512997
-2.5357142857142856,0.01,-0.005,276.8315897367438,9.999,0.0,0.0,249648.58550647838,6250.124373833808,19968959.815818127,381.82296263618326,304.927398566417
-2.5357142857142856,0.01,0.005,276.8315897367438,15.237594348561215,0.002909771366653467,0.0,244068.13394801333,6235.1661239179,19517211.26425367,373.18515816785475,301.45855198434936
-2.5357142857142856,0.01,0.015,276.8315897367438,9.999,0.0,0.0,249648.58550647838,6250.124373833808,19968959.815818127,381.82296263618326,304.927398566417
-2.5357142857142856,0.03,-0.005,276.8197177663285,9.991,0.0,0.0,249659.68401770873,6250.1617516365895,19968997.748235438,381.84006288065484,304.93422669776464
-2.5357142857142856,0.03,0.005,276.8197177663285,15.228840290680884,0.008717421850817298,0.0,244079.92227431925,6235.206170670683,19517328.02413814,373.20339528095826,301.4659178541099
-2.5357142857142856,0.03,0.015,276.8197177663285,9.991,0.0,0.0,249659.68401770873,6250.1617516365895,19968997.748235438,381.84006288065484,304.93422669776464
-2.5357142857142856,0.05,-0.005,276.79600058673213,9.974999999999998,0.0,0.0,249681.85935394358,6250.236428827554,19969073.56000104,381.8742299014249,304.94786913869
-2.5357142857142856,0.05,0.005,276.79600058673213,15.211326139740827,0.01448443935561392,0.0,244103.47732515234,6235.28618405885,19517561.443081982,373.2398362515866,301.4806356228099
-2.5357142857142856,0.05,0.015,276.79600058673213,9.974999999999998,0.0,0.0,249681.85935394358,6250.236428827554,19969073.56000104,381.8742299014249,304.94786913869
-2.5357142857142856,0.07,-0.005,276.7604557913044,9.951,0.0,0.0,249715.09964727363,6250.34835553908,19969187.083476823,381.925444956159,304.96831749180194
-2.5357142857142856,0.07,0.005,276.7604557913044,15.185057097027384,0.02018606828437355,0.0,244138.78197574013,6235.406097481538,19517910.86138665,373.2944540600632,301.5026933021726
-2.5357142857142856,0.07,0.015,276.7604557913044,9.951,0.0,0.0,249715.09964727363,6250.34835553908,19969187.083476823,381.925444956159,304.96831749180194
-2.5357142857142856,0.09,-0.005,276.7131095252501,9.919,-1.6048729853231584e-18,0.0,249759.38731169046,6250.497457751036,19969338.066242605,381.9936802615606,304.9955592966774
-2.5357142857142856,0.09,0.005,276.7131095252501,15.150041324921721,0.025797434616802725,0.0,244185.81068742735,6235.565811656094,19518375.283640467,373.36720839675746,301.53207300434315
-2.5357142857142856,0.09,0.015,276.7131095252501,9.919,-1.6048729853231584e-18,0.0,249759.38731169046,6250.497457751036,19969338.066242605,381.9936802615606,304.9955592966774
-2.5357142857142856,0.11000000000000001,-0.005,276.65399655344595,9.879000000000001,0.0,0.0,249814.6989515956,6250.6836370154915,19969526.17257233,382.07889885341217,305.02957797813207
-2.5357142857142856,0.11000000000000001,0.005,276.65399655344595,15.106289682589457,0.03129344026410632,0.0,244244.52949119327,6235.765194573047,19518953.38695406,373.45804564464686,301.56875094135273
-2.5357142857142856,0.11000000000000001,0.015,276.65399655344595,9.879000000000001,0.0,0.0,249814.6989515956,6250.6836370154915,19969526.17257233,382.07889885341217,305.02957797813207
-2.5357142857142856,0.13,-0.005,276.58316020611574,9.831,0.0,0.0,249881.0053854866,6250.906770591497,19969750.98430927,382.18105462280926,305.07035286620476
-2.5357142857142856,0.13,0.005,276.58316020611574,15.053815665009902,0.03664870127284705,0.0,244314.89605176853,6236.004081774795,19519643.526005838,373.5668989809507,301.6126974747835
-2.5357142857142856,0.13,0.015,276.58316020611574,9.831,0.0,0.0,249881.0053854866,6250.906770591497,19969750.98430927,382.18105462280926,305.07035286620476
-2.5357142857142856,0.15,-0.005,276.50065231195595,9.775,0.0,0.0,249958.27167412912,6251.166711608794,19970012.001897972,382.3000923592569,305.1178592202207
-2.5357142857142856,0.15,0.005,276.50065231195595,14.99263534074338,0.0418374944232625,0.0,244396.85974364044,6236.282276690778,19520443.73903857,373.6936884974762,301.6638771750535
-2.5357142857142856,0.15,0.015,276.50065231195595,9.775,0.0,0.0,249958.27167412912,6251.166711608794,19970012.001897972,382.3000923592569,305.1178592202207
-2.5357142857142856,0.17000000000000004,-0.005,276.4065331132152,9.711,3.2133059968809725e-18,0.0,250046.45715895432,6251.4632892791005,19970308.645619858,382.4359478094076,305.172068260412
-2.5357142857142856,0.17000000000000004,0.005,276.4065331132152,14.922767274469516,0.04683371291548211,0.0,244490.36174702118,6236.599551054542,19521351.755057763,373.83832135232535,301.7222488953657
-2.5357142857142856,0.17000000000000004,0.015,276.4065331132152,9.711,3.2133059968809725e-18,0.0,250046.45715895432,6251.4632892791005,19970308.645619858,382.4359478094076,305.172068260412
-2.5357142857142856,0.19,-0.005,276.30087116208216,9.639,0.0,0.0,250145.515511248,6251.796309156653,19970640.257012535,382.5885477523087,305.23294720740904
-2.5357142857142856,0.19,0.005,276.30087116208216,14.84423243770464,0.05161083357937757,0.0,244595.33516282213,6236.9556453997675,19522365.00207642,374.0006919513871,301.7877658596101
-2.5357142857142856,0.19,0.015,276.30087116208216,9.639,0.0,0.0,250145.515511248,6251.796309156653,19970640.257012535,382.5885477523087,305.23294720740904
-2.5357142857142856,0.20999999999999996,-0.005,276.1837431976322,9.559000000000001,-3.215898036487092e-18,0.0,250255.39479290624,6252.165553450294,19971006.100458175,382.75781009234277,305.30045933003424
-2.5357142857142856,0.20999999999999996,0.005,276.1837431976322,14.757054109305813,0.056141897194405974,0.0,244711.70514659106,6237.3502696348505,19523480.616313715,374.1806821594781,301.8603757640773
-2.5357142857142856,0.20999999999999996,0.015,276.1837431976322,9.559000000000001,-3.215898036487092e-18,0.0,250255.39479290624,6252.165553450294,19971006.100458175,382.75781009234277,305.30045933003424
-2.5357142857142856,0.23000000000000004,-0.005,276.05523400050805,9.471,0.0,0.0,250376.03753151107,6252.5707813959125,19971405.364930306,382.9436439740747,305.3745640030312
-2.5357142857142856,0.23000000000000004,0.005,276.05523400050805,14.661257766227765,0.06039950341728431,0.0,244839.38906348226,6237.783103702607,19524695.452273052,374.37816154424536,301.94002089413743
-2.5357142857142856,0.23000000000000004,0.015,276.05523400050805,9.471,0.0,0.0,250376.03753151107,6252.5707813959125,19971405.364930306,382.9436439740747,305.3745640030312
-2.5357142857142856,0.25,-0.005,275.91543622348695,9.375,6.438050397128491e-18,0.0,250507.3808116211,6253.011729695065,19971837.16588479,383.14594992190337,305.455216775828
-2.5357142857142856,0.25,0.005,275.91543622348695,14.55687096564857,0.06435582183289222,0.0,244978.29666523606,6238.2537983279835,19526006.093599796,374.59298765425984,302.02663825634903
-2.5357142857142856,0.25,0.015,275.91543622348695,9.375,6.438050397128491e-18,0.0,250507.3808116211,6253.011729695065,19971837.16588479,383.14594992190337,305.455216775828
-2.5357142857142856,0.27,-0.005,275.7644501958481,9.271,6.441575282785945e-18,0.0,250649.3563844732,6253.488113026534,19972300.547282897,383.3646200078777,305.5423694536061
