# Time [s], Iter[-]
0.0006408178091859782,200
# x [m], y [m], z [m], rho [kg/m3], u [m/s], v [m/s], w [m/s], E [J/kg], s [J/(kg·K)], P [Pa], T [K], sos [m/s]
-5.1,-0.016666666666666666,-0.005,264.6075553044616,9.967822252675006,-0.0021083405228849955,0.0,261437.0817484639,6288.824228224781,19988717.986454297,399.8568678209673,312.04534406909863
-5.1,-0.016666666666666666,0.005,264.6075553044616,9.997222222222222,-0.006325021568654987,0.0,261408.93238753368,6288.753091739536,19986542.914542314,399.8133574046114,312.0283660035626
-5.1,-0.016666666666666666,0.015,264.6075553044616,9.967822252675006,-0.0021083405228849955,0.0,261437.0817484639,6288.824228224781,19988717.986454297,399.8568678209673,312.04534406909863
-5.1,0.016666666666666666,-0.005,264.6075553044616,9.997222222222222,0.0,0.0,261408.93238753368,6288.753091789567,19986542.91607197,399.81335743521083,312.0283660155031
-5.1,0.016666666666666666,0.005,264.6075553044616,10.085422130863865,-0.006325021568654987,0.0,261324.48430474306,6288.539622982986,19980017.30629222,399.68281830364066,311.9774231987433
-5.1,0.016666666666666666,0.015,264.6075553044616,9.997222222222222,0.0,0.0,261408.93238753368,6288.753091789567,19986542.91607197,399.81335743521083,312.0283660155031
-5.1,0.05,-0.005,264.6053560356241,9.975,0.0,0.0,261411.51234631863,6288.761660901997,19986592.013692647,399.817643593974,312.03003854533
-5.1,0.049999999999999996,0.005,264.6053560356241,10.067066018790115,-0.02269204563076426,0.0,261330.70326710743,6288.557205904341,19980341.89205119,399.69261432909724,311.98124638041844
-5.1,0.05,0.015,264.6053560356241,9.975,0.0,0.0,261411.51234631863,6288.761660901997,19986592.013692647,399.817643593974,312.03003854533
-5.1,0.08333333333333333,-0.005,264.5966699563769,9.930555555555555,0.0,0.0,261421.33726545275,6288.7935247499745,19986722.865714375,399.8333499222135,312.03616733698607
-5.1,0.08333333333333333,0.005,264.5966699563769,10.01799845454541,-0.0460564225054438,0.0,261352.17670189103,6288.618343794677,19981367.486898035,399.726215847927,311.9943599870189
-5.1,0.08333333333333333,0.015,264.5966699563769,9.930555555555555,0.0,0.0,261421.33726545275,6288.7935247499745,19986722.865714375,399.8333499222135,312.03616733698607
-5.1,0.11666666666666667,-0.005,264.5813375182444,9.86388888888889,0.0,0.0,261438.56612075763,6288.84918840641,19986934.946629215,399.8607150802941,312.0468452518584
-5.1,0.11666666666666667,0.005,264.5813375182444,9.93797587399206,-0.07548120351465919,0.0,261389.0891385427,6288.723599212717,19983095.429058786,399.7839012894166,312.0168714991674
-5.1,0.11666666666666667,0.015,264.5813375182444,9.86388888888889,0.0,0.0,261438.56612075763,6288.84918840641,19986934.946629215,399.8607150802941,312.0468452518584
-5.1,0.15,-0.005,264.5590377408551,9.775000000000002,0.0,0.0,261463.5130090067,6288.929654721147,19987227.223324843,399.9002127582598,312.06225664511294
-5.1,0.15,0.005,264.5590377408551,9.826655734469114,-0.10982409987728797,0.0,261442.03932610044,6288.874673737305,19985546.22725123,399.866579744537,312.04913360277186
-5.1,0.15,0.015,264.5590377408551,9.775000000000002,0.0,0.0,261463.5130090067,6288.929654721147,19987227.223324843,399.9002127582598,312.06225664511294
-5.1,0.18333333333333332,-0.005,264.5293354130157,9.663888888888891,0.0,0.0,261496.59808947437,6289.036267983562,19987597.918032363,399.95247662876386,312.08264804276786
-5.1,0.18333333333333332,0.005,264.5293354130157,9.683671596020208,-0.14786668143719872,0.0,261511.92929241125,6289.074093626055,19988754.507914376,399.97562002946927,312.09167730213807
-5.1,0.18333333333333332,0.015,264.5293354130157,9.663888888888891,0.0,0.0,261496.59808947437,6289.036267983562,19987597.918032363,399.95247662876386,312.08264804276786
-5.1,0.21666666666666667,-0.005,264.4917722055194,9.530555555555555,0.0,0.0,261538.25377738057,6289.170413258629,19988044.275859874,400.0181568466755,312.10827210570676
-5.1,0.21666666666666667,0.005,264.4917722055194,9.508709834714821,-0.1884614224934304,0.0,261599.74755726647,6289.3245980349675,19992759.289158072,400.112517800805,312.1450818070249
-5.1,0.21666666666666667,0.015,264.4917722055194,9.530555555555555,0.0,0.0,261538.25377738057,6289.170413258629,19988044.275859874,400.0181568466755,312.10827210570676
