# Time [s], Iter[-]
0.0001281473695916239,400
# x [m], y [m], z [m], rho [kg/m3], u [m/s], v [m/s], w [m/s], E [J/kg], s [J/(kg·K)], P [Pa], T [K], sos [m/s]
-2.5357142857142856,-0.01,-0.005,264.61937358101545,9.980592440772803,2.1969434621921734e-05,0.0,261436.7198787931,6288.814636026438,19989566.03911166,399.8561194071082,312.04505204064014
-2.5357142857142856,-0.01,0.005,264.61937358101545,9.999000000000002,6.590830386576521e-05,0.0,261398.44982707017,6288.718459510742,19986625.273823015,399.79729456848474,312.02209794027874
-2.5357142857142856,-0.01,0.015,264.61937358101545,9.980592440772803,2.1969434621921734e-05,0.0,261436.7198787931,6288.814636026438,19989566.03911166,399.8561194071082,312.04505204064014
-2.5357142857142856,0.01,-0.005,264.61937358101545,9.999,0.0,0.0,261398.44982707012,6288.718459510748,19986625.273823183,399.79729456848804,312.02209794028
-2.5357142857142856,0.01,0.005,264.61937358101545,10.054222677681592,6.59083038657652e-05,0.0,261283.6396719013,6288.429839946818,19977802.822481595,399.6208169426004,311.9532242912872
-2.5357142857142856,0.01,0.015,264.61937358101545,9.999,0.0,0.0,261398.44982707012,6288.718459510748,19986625.273823183,399.79729456848804,312.02209794028
-2.5357142857142856,0.03,-0.005,264.619453089758,9.991,0.0,0.0,261398.5725678021,6288.718909839039,19986646.7718085,399.7976046495358,312.02221894174954
-2.5357142857142856,0.03,0.005,264.619453089758,10.046137484543536,0.00018905518307649815,0.0,261283.92979188365,6288.430712590876,19977837.217389543,399.62138505677757,311.95344603272156
-2.5357142857142856,0.03,0.015,264.619453089758,9.991,0.0,0.0,261398.5725678021,6288.718909839039,19986646.7718085,399.7976046495358,312.02221894174954
-2.5357142857142856,0.05,-0.005,264.6196120468802,9.975,0.0,0.0,261398.81750997365,6288.719808618647,19986689.71682126,399.79822369293817,312.02246050800585
-2.5357142857142856,0.05,0.005,264.6196120468802,10.029966758659997,0.00031140192599537787,0.0,261284.50872504167,6288.432454076071,19977905.89751906,399.6225189912584,311.9538886197942
-2.5357142857142856,0.05,0.015,264.6196120468802,9.975,0.0,0.0,261398.81750997365,6288.719808618647,19986689.71682126,399.79822369293817,312.02246050800585
-2.5357142857142856,0.07,-0.005,264.61984958959,9.951,2.6222119024932308e-20,0.0,261399.18458224103,6288.721155370769,19986754.004018996,399.79915100213395,312.0228223669537
-2.5357142857142856,0.07,0.005,264.61984958959,10.005710943854547,0.00043343271944253515,0.0,261285.37633451557,6288.435063721876,19978008.75212403,399.62421792985,311.9545517329969
-2.5357142857142856,0.07,0.015,264.61984958959,9.951,2.6222119024932308e-20,0.0,261399.18458224103,6288.721155370769,19986754.004018996,399.79915100213395,312.0228223669537
-2.5357142857142856,0.09,-0.005,264.62016512095835,9.919,0.0,0.0,261399.67288921517,6288.722946836979,19986839.475971296,399.80038432626867,312.02330363983737
-2.5357142857142856,0.09,0.005,264.62016512095835,9.97337075944167,0.0005550203560656384,0.0,261286.53061331253,6288.438535429569,19978145.53736068,399.62647789138623,311.95543381703936
-2.5357142857142856,0.09,0.015,264.62016512095835,9.919,0.0,0.0,261399.67288921517,6288.722946836979,19986839.475971296,399.80038432626867,312.02330363983737
-2.5357142857142856,0.11000000000000001,-0.005,264.62055814787453,9.879000000000001,0.0,0.0,261400.28093995736,6288.725177714055,19986945.92286235,399.8019202097352,312.0239029776466
-2.5357142857142856,0.11000000000000001,0.005,264.62055814787453,9.93294713622585,0.0006757502312022213,0.0,261287.96819812097,6288.442859133224,19978315.898372397,399.62929251684716,311.95653238809166
-2.5357142857142856,0.11000000000000001,0.015,264.62055814787453,9.879000000000001,0.0,0.0,261400.28093995736,6288.725177714055,19986945.92286235,399.8019202097352,312.0239029776466
-2.5357142857142856,0.13,-0.005,264.62102805438917,9.831,0.0,0.0,261401.00687276322,6288.727841378203,19987073.082550354,399.8037543360367,312.02461869530816
-2.5357142857142856,0.13,0.005,264.62102805438917,9.884441208630198,0.0007952092182502194,0.0,261289.68488252687,6288.448022246581,19978519.39142787,399.6326538547369,311.95784434035204
-2.5357142857142856,0.13,0.015,264.62102805438917,9.831,0.0,0.0,261401.00687276322,6288.727841378203,19987073.082550354,399.8037543360367,312.02461869530816
-2.5357142857142856,0.15,-0.005,264.62157403168555,9.775,-5.244389652733937e-20,0.0,261401.84852421394,6288.7309301075875,19987220.640584383,399.805881633418,312.02544881291476
-2.5357142857142856,0.15,0.005,264.62157403168555,9.827854322257599,0.0009130581777419189,0.0,261291.67577517207,6288.45401010894,19978755.49075794,399.63655260311515,311.9593660405455
-2.5357142857142856,0.15,0.015,264.62157403168555,9.775,-5.244389652733937e-20,0.0,261401.84852421394,6288.7309301075875,19987220.640584383,399.805881633418,312.02544881291476
-2.5357142857142856,0.17000000000000004,-0.005,264.6221950871899,9.711,0.0,0.0,261402.80342030092,6288.73443505357,19987388.23022706,399.8082962612876,312.02639105043767
-2.5357142857142856,0.17000000000000004,0.005,264.6221950871899,9.763188040342557,0.0010290097733636574,0.0,261293.9352788584,6288.460805926781,19979023.587664608,399.64097807778063,311.9610933155409
-2.5357142857142856,0.17000000000000004,0.015,264.6221950871899,9.711,0.0,0.0,261402.80342030092,6288.73443505357,19987388.23022706,399.8082962612876,312.02639105043767
